"filename", "language", "HTML", "TypeScript", "SCSS", "TypeScript JSX", "XML", "comment", "blank", "total"
"e:\project\arc\EcoSort\EcoSort\src\pages\loading\index.scss", "SCSS", 0, 0, 62, 0, 0, 0, 1, 63
"e:\project\arc\EcoSort\EcoSort\src\pages\loading\loading.tsx", "TypeScript JSX", 0, 0, 0, 45, 0, 0, 4, 49
"e:\project\arc\EcoSort\EcoSort\src\pages\mineHome\index.config.ts", "TypeScript", 0, 5, 0, 0, 0, 0, 1, 6
"e:\project\arc\EcoSort\EcoSort\src\pages\mineHome\index.scss", "SCSS", 0, 0, 178, 0, 0, 0, 2, 180
"e:\project\arc\EcoSort\EcoSort\src\pages\mineHome\index.tsx", "TypeScript JSX", 0, 0, 0, 183, 0, 0, 5, 188
"e:\project\arc\EcoSort\EcoSort\src\pages\mineSetting\index.config.ts", "TypeScript", 0, 5, 0, 0, 0, 0, 1, 6
"e:\project\arc\EcoSort\EcoSort\src\pages\mineSetting\index.scss", "SCSS", 0, 0, 80, 0, 0, 0, 5, 85
"e:\project\arc\EcoSort\EcoSort\src\pages\mineSetting\index.tsx", "TypeScript JSX", 0, 0, 0, 120, 0, 1, 10, 131
"e:\project\arc\EcoSort\EcoSort\src\store\imgStore.ts", "TypeScript", 0, 51, 0, 0, 0, 0, 4, 55
"e:\project\arc\EcoSort\EcoSort\src\store\userStore.ts", "TypeScript", 0, 33, 0, 0, 0, 0, 4, 37
"Total", "-", 22, 652, 1667, 1991, 62, 35, 297, 4726
